Feature ID	Taxon
seq577	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; none; none
seq578	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq579	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; senegalense
seq580	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; Limnochorda; none
seq581	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; none; none
seq582	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylococcaceae; none; none
seq583	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Gracilibacillus; alcaliphilus
seq584	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; sputi
seq585	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Thermomonospora; chromogena
seq586	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; indicireducens
seq587	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; lentus
seq588	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lentibacillus; none
seq589	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq590	Eukaryota; none; none; none; none; none; none
seq591	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium; none
seq592	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq593	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sandaracinaceae; none; none
seq594	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq595	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq596	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq597	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq598	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Dermabacteraceae; Brachybacterium; none
seq599	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldalkalibacillus; none
seq600	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; none; none; none
seq601	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq602	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; ravenspurgense
seq603	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq604	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq605	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; none; none
seq606	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; sanguinis
seq607	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Pusillimonas; none
seq608	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq609	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq610	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix; none
seq611	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales_Incertae_Sedis; Proteiniborus; none
seq612	Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Stackebrandtia; none
seq613	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq614	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Pusillimonas; none
seq615	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
seq616	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; ginsengihumi
seq617	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq618	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq619	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq620	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; none
seq621	Bacteria; Planctomycetes; Planctomycetacia; Pirellulales; Pirellulaceae; none; none
seq622	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq623	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq624	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq625	Bacteria; Firmicutes; Bacilli; Bacillales; Sporolactobacillaceae; Tuberibacillus; calidus
seq626	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq627	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq628	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; formosensis
seq629	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Thermocrispum; municipale
seq630	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq631	Eukaryota; none; none; none; none; none; none
seq632	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Vulgatibacteraceae; Vulgatibacter; none
seq633	Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Steroidobacter; none
seq634	Bacteria; Firmicutes; Clostridia; none; none; none; none
seq635	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; none
seq636	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Paeniclostridium; none
seq637	Bacteria; Firmicutes; Clostridia; none; none; none; none
seq638	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; fordii
seq639	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq640	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; residui
seq641	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq642	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes; suicloacalis
seq643	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq644	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Pelagibacterium; none
seq645	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldalkalibacillus; none
seq646	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq647	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Laceyella; none
seq648	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq649	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus; none
seq650	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Thermocrispum; municipale
seq651	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq652	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodovibrionales; Fodinicurvataceae; none; none
seq653	Bacteria; Firmicutes; Clostridia; none; none; none; none
seq654	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; none
seq655	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; none
seq656	Eukaryota; none; none; none; none; none; none
seq657	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq658	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq659	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
seq660	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Vulgatibacteraceae; Vulgatibacter; none
seq661	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq662	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; none
seq663	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; none
seq664	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq665	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Fonticella; none
seq666	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; none
seq667	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; BIrii41; none; none
seq668	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; indicireducens
seq669	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldalkalibacillus; none
seq670	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq671	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Paeniclostridium; none
seq672	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq673	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora; azurea
seq674	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium; none
seq675	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq676	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq677	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq678	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; none; none
seq679	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lentibacillus; none
seq680	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; none; none
seq681	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq682	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq683	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq684	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq685	Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq686	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq687	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Thermocrispum; agreste
seq688	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; sanguinis
seq689	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq690	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq691	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq692	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; none
seq693	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq694	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq695	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; soli
seq696	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; indicireducens
seq697	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; none
seq698	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes; none
seq699	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; none
seq700	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; thermosphaericus
seq701	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Idiomarina; none
seq702	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq703	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Enteractinococcus; none
seq704	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Ammoniphilus; none
seq705	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes; suicloacalis
seq706	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq707	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; subtilis
seq708	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq709	Eukaryota; none; none; none; none; none; none
seq710	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Kroppenstedtia; eburnea
seq711	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; none
seq712	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Chelatococcus; daeguensis
seq713	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq714	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; fordii
seq715	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq716	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq717	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; none
seq718	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq719	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq720	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Jeotgalicoccus; none
seq721	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq722	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; none
seq723	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sandaracinaceae; none; none
seq724	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; none; none
seq725	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq726	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq727	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq728	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq729	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; phlei
seq730	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq731	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; phlei
seq732	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Laceyella; none
seq733	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq734	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis; none
seq735	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodovibrionales; Fodinicurvataceae; none; none
seq736	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq737	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq738	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; none; none
seq739	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Gracilibacillus; none
seq740	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq741	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq742	Eukaryota; none; none; none; none; none; none
seq743	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq744	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; none
seq745	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; none; none
seq746	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq747	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Wohlfahrtiimonadaceae; Ignatzschineria; none
seq748	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq749	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq750	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq751	Eukaryota; none; none; none; none; none; none
seq752	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_7; none
seq753	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; thermosphaericus
seq754	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Vulgatibacteraceae; Vulgatibacter; none
seq755	Eukaryota; none; none; none; none; none; none
seq756	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq757	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Kroppenstedtia; none
seq758	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Bogoriellaceae; Georgenia; none
seq759	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq760	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella; none
seq761	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq762	Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; none
seq763	Bacteria; Gemmatimonadetes; S0134_terrestrial_group; none; none; none; none
seq764	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldalkalibacillus; none
seq765	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq766	Bacteria; Firmicutes; Clostridia; none; none; none; none
seq767	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq768	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium; none
seq769	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Nosocomiicoccus; none
seq770	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq771	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; thermosphaericus
seq772	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq773	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq774	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; composti
seq775	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq776	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium; none
seq777	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Kroppenstedtia; none
seq778	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; oncorhynchi
seq779	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; none
seq780	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Ureibacillus; none
seq781	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq782	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq783	none; none; none; none; none; none; none
seq784	Eukaryota; none; none; none; none; none; none
seq785	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas; taiwanensis
seq786	Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30-KF-CM45; none; none
seq787	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; none; none
seq788	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq789	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; none; none
seq790	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas; taiwanensis
seq791	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; vulgaris
seq792	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Enteractinococcus; none
seq793	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; none
seq794	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus; thermoaerophilus
seq795	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq796	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; none; none
seq797	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Falsochrobactrum; ovis
seq798	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Cohnella; none
seq799	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq800	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes; none
seq801	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq802	Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; AKYG1722; none; none
seq803	Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; none; none
seq804	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; none
seq805	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq806	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Weeksellaceae; Moheibacter; none
seq807	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq808	Bacteria; Acidobacteria; Subgroup_6; none; none; none; none
seq809	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Chelativorans; none
seq810	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; none; none
seq811	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; none
seq812	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq813	Bacteria; Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; none; none
seq814	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq815	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; none; none
seq816	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Fulvimonas; soli
seq817	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus; thermoaerophilus
seq818	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Shimazuella; none
seq819	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus; none
seq820	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq821	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq822	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sandaracinaceae; none; none
seq823	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq824	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Family_III; none; none
seq825	Bacteria; Actinobacteria; Acidimicrobiia; Actinomarinales; none; none; none
seq826	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; none; none
seq827	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella; none
seq828	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; formosensis
seq829	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Dietziaceae; Dietzia; none
seq830	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq831	Bacteria; Firmicutes; Clostridia; Clostridiales; Family_XI; Tepidimicrobium; none
seq832	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; none; none
seq833	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq834	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq835	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq836	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; none; none
seq837	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Bordetella; none
seq838	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sandaracinaceae; none; none
seq839	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq840	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Pusillimonas; none
seq841	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Dermabacteraceae; Brachybacterium; none
seq842	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; none; none
seq843	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq844	Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; none
seq845	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; none; none; none
seq846	Bacteria; Proteobacteria; Gammaproteobacteria; EPR3968-O8a-Bc78; none; none; none
seq847	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; thermolactis
seq848	Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30-KF-CM45; none; none
seq849	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq850	Bacteria; Firmicutes; Clostridia; Clostridiales; Caldicoprobacteraceae; Caldicoprobacter; none
seq851	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; Limnochorda; none
seq852	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq853	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq854	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq855	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; none
seq856	Eukaryota; none; none; none; none; none; none
seq857	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq858	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Vulgatibacteraceae; Vulgatibacter; none
seq859	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; albus
seq860	Bacteria; Gemmatimonadetes; S0134_terrestrial_group; none; none; none; none
seq861	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Leucobacter; none
seq862	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq863	Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Tumebacillus; none
